"Calendar year","ABS remoteness area","RoadUser_Group","Sum(Hospitalisations)"
2011,"Major Cities","Car driver",7042
2011,"Major Cities","Car passenger",2934
2011,"Major Cities","Motorcyclist",4496
2011,"Major Cities","Other",1340
2011,"Major Cities","Pedal cyclist",4019
2011,"Major Cities","Pedestrian",2039
2011,"Regional","Car driver",3506
2011,"Regional","Car passenger",1539
2011,"Regional","Motorcyclist",2673
2011,"Regional","Other",965
2011,"Regional","Pedal cyclist",1208
2011,"Regional","Pedestrian",570
2011,"Remote","Car driver",271
2011,"Remote","Car passenger",222
2011,"Remote","Motorcyclist",318
2011,"Remote","Other",178
2011,"Remote","Pedal cyclist",87
2011,"Remote","Pedestrian",80
2012,"Major Cities","Car driver",6762
2012,"Major Cities","Car passenger",2822
2012,"Major Cities","Motorcyclist",4702
2012,"Major Cities","Other",1326
2012,"Major Cities","Pedal cyclist",4180
2012,"Major Cities","Pedestrian",2020
2012,"Regional","Car driver",3545
2012,"Regional","Car passenger",1456
2012,"Regional","Motorcyclist",2625
2012,"Regional","Other",925
2012,"Regional","Pedal cyclist",1272
2012,"Regional","Pedestrian",498
2012,"Remote","Car driver",334
2012,"Remote","Car passenger",271
2012,"Remote","Motorcyclist",316
2012,"Remote","Other",168
2012,"Remote","Pedal cyclist",89
2012,"Remote","Pedestrian",85
2013,"Major Cities","Car driver",7112
2013,"Major Cities","Car passenger",2974
2013,"Major Cities","Motorcyclist",4981
2013,"Major Cities","Other",1260
2013,"Major Cities","Pedal cyclist",4760
2013,"Major Cities","Pedestrian",2047
2013,"Regional","Car driver",3339
2013,"Regional","Car passenger",1409
2013,"Regional","Motorcyclist",2637
2013,"Regional","Other",843
2013,"Regional","Pedal cyclist",1287
2013,"Regional","Pedestrian",469
2013,"Remote","Car driver",327
2013,"Remote","Car passenger",264
2013,"Remote","Motorcyclist",327
2013,"Remote","Other",142
2013,"Remote","Pedal cyclist",93
2013,"Remote","Pedestrian",67
2014,"Major Cities","Car driver",7231
2014,"Major Cities","Car passenger",2790
2014,"Major Cities","Motorcyclist",5204
2014,"Major Cities","Other",1235
2014,"Major Cities","Pedal cyclist",5087
2014,"Major Cities","Pedestrian",1934
2014,"Regional","Car driver",3373
2014,"Regional","Car passenger",1380
2014,"Regional","Motorcyclist",2727
2014,"Regional","Other",813
2014,"Regional","Pedal cyclist",1371
2014,"Regional","Pedestrian",471
2014,"Remote","Car driver",323
2014,"Remote","Car passenger",239
2014,"Remote","Motorcyclist",297
2014,"Remote","Other",126
2014,"Remote","Pedal cyclist",94
2014,"Remote","Pedestrian",74
2015,"Major Cities","Car driver",7926
2015,"Major Cities","Car passenger",3040
2015,"Major Cities","Motorcyclist",5213
2015,"Major Cities","Other",1304
2015,"Major Cities","Pedal cyclist",5098
2015,"Major Cities","Pedestrian",1976
2015,"Regional","Car driver",3700
2015,"Regional","Car passenger",1454
2015,"Regional","Motorcyclist",2681
2015,"Regional","Other",831
2015,"Regional","Pedal cyclist",1376
2015,"Regional","Pedestrian",460
2015,"Remote","Car driver",316
2015,"Remote","Car passenger",245
2015,"Remote","Motorcyclist",292
2015,"Remote","Other",120
2015,"Remote","Pedal cyclist",117
2015,"Remote","Pedestrian",88
2016,"Major Cities","Car driver",8867
2016,"Major Cities","Car passenger",3128
2016,"Major Cities","Motorcyclist",5503
2016,"Major Cities","Other",1444
2016,"Major Cities","Pedal cyclist",5284
2016,"Major Cities","Pedestrian",2118
2016,"Regional","Car driver",3827
2016,"Regional","Car passenger",1489
2016,"Regional","Motorcyclist",2631
2016,"Regional","Other",871
2016,"Regional","Pedal cyclist",1370
2016,"Regional","Pedestrian",474
2016,"Remote","Car driver",292
2016,"Remote","Car passenger",272
2016,"Remote","Motorcyclist",286
2016,"Remote","Other",112
2016,"Remote","Pedal cyclist",111
2016,"Remote","Pedestrian",71
2017,"Major Cities","Car driver",8764
2017,"Major Cities","Car passenger",3105
2017,"Major Cities","Motorcyclist",5560
2017,"Major Cities","Other",1386
2017,"Major Cities","Pedal cyclist",5409
2017,"Major Cities","Pedestrian",2055
2017,"Regional","Car driver",3975
2017,"Regional","Car passenger",1564
2017,"Regional","Motorcyclist",2747
2017,"Regional","Other",910
2017,"Regional","Pedal cyclist",1392
2017,"Regional","Pedestrian",450
2017,"Remote","Car driver",285
2017,"Remote","Car passenger",200
2017,"Remote","Motorcyclist",280
2017,"Remote","Other",93
2017,"Remote","Pedal cyclist",92
2017,"Remote","Pedestrian",104
2018,"Major Cities","Car driver",8845
2018,"Major Cities","Car passenger",3166
2018,"Major Cities","Motorcyclist",5422
2018,"Major Cities","Other",1475
2018,"Major Cities","Pedal cyclist",5320
2018,"Major Cities","Pedestrian",1940
2018,"Regional","Car driver",4138
2018,"Regional","Car passenger",1506
2018,"Regional","Motorcyclist",2769
2018,"Regional","Other",892
2018,"Regional","Pedal cyclist",1367
2018,"Regional","Pedestrian",537
2018,"Remote","Car driver",369
2018,"Remote","Car passenger",309
2018,"Remote","Motorcyclist",256
2018,"Remote","Other",115
2018,"Remote","Pedal cyclist",83
2018,"Remote","Pedestrian",68
2019,"Major Cities","Car driver",8763
2019,"Major Cities","Car passenger",3075
2019,"Major Cities","Motorcyclist",5642
2019,"Major Cities","Other",1459
2019,"Major Cities","Pedal cyclist",5558
2019,"Major Cities","Pedestrian",2058
2019,"Regional","Car driver",4106
2019,"Regional","Car passenger",1421
2019,"Regional","Motorcyclist",2778
2019,"Regional","Other",849
2019,"Regional","Pedal cyclist",1421
2019,"Regional","Pedestrian",470
2019,"Remote","Car driver",349
2019,"Remote","Car passenger",239
2019,"Remote","Motorcyclist",256
2019,"Remote","Other",80
2019,"Remote","Pedal cyclist",105
2019,"Remote","Pedestrian",70
2020,"Major Cities","Car driver",7848
2020,"Major Cities","Car passenger",2586
2020,"Major Cities","Motorcyclist",5265
2020,"Major Cities","Other",1286
2020,"Major Cities","Pedal cyclist",6423
2020,"Major Cities","Pedestrian",1517
2020,"Regional","Car driver",3798
2020,"Regional","Car passenger",1412
2020,"Regional","Motorcyclist",2930
2020,"Regional","Other",854
2020,"Regional","Pedal cyclist",1618
2020,"Regional","Pedestrian",442
2020,"Remote","Car driver",369
2020,"Remote","Car passenger",208
2020,"Remote","Motorcyclist",315
2020,"Remote","Other",120
2020,"Remote","Pedal cyclist",93
2020,"Remote","Pedestrian",67
2021,"Major Cities","Car driver",8681
2021,"Major Cities","Car passenger",2777
2021,"Major Cities","Motorcyclist",5519
2021,"Major Cities","Other",1336
2021,"Major Cities","Pedal cyclist",6312
2021,"Major Cities","Pedestrian",1730
2021,"Regional","Car driver",4126
2021,"Regional","Car passenger",1405
2021,"Regional","Motorcyclist",2920
2021,"Regional","Other",844
2021,"Regional","Pedal cyclist",1645
2021,"Regional","Pedestrian",467
2021,"Remote","Car driver",350
2021,"Remote","Car passenger",224
2021,"Remote","Motorcyclist",290
2021,"Remote","Other",94
2021,"Remote","Pedal cyclist",83
2021,"Remote","Pedestrian",73
